Livsmedelsnamn;Livsmedelsnummer;Energi (kcal)(kcal);Protein(g);Fett(g);Kolhydrater(g)
Talg nöt;1;656;7;71;0
Späck gris;2;763;2,8;85;0
Ister gris;3;884;0;100;0
Kokosfett;4;884;0;100;0
Matfettsblandning havssaltat fett 80% berikad typ Bregott;5;712;0,5;80;0,5
Matfettsblandning fett 60 % berikad typ Bregott mellan;6;534;0,4;60;0,5
Bordsmargarin fett 70% berikad typ Milda;7;621;0,2;70;0,3
Bordsmargarin extrasaltat fett 60% berikad typ Milda;8;533;0,2;60;0,3
Bordsmargarin mjölkfri fett 60% berikad typ Milda;9;531;0;60;0
Flytande margarin fett 82 % berikad typ Milda culinesse;10;650;0;74;0
Hushållsmargarin fett 80% berikad typ Melba;12;710;0,1;80;0,4
Hushållsmargarin fett 80% berikad typ Milda;13;712;0,5;80;0,5
Lättmargarin fett 38% berikad typ Becel;17;348;0;38;3
Lättmargarin m växtsterol 7,5% fett 35% berik typ Becel proactiv;18;320;0,1;35;2,5
Lättmargarin fett 40% berikad typ Lätt & lagom;20;376;0,5;40;4,9
Majonnäs fett 90% ;21;800;1,2;89,6;0,6
Sesamsås;22;157;2,3;13,3;4,5
Gravlaxsås krabbsås;23;468;2,1;45,6;13,5
Gravlaxsås;24;555;1,6;56;13,1
Remouladsås;25;642;1;71,1;2,1
Dressing vinägrett m vatten fett 45%;26;400;0,5;43,4;3,2
Lättmargarin fett 40% berikad typ Lätt & lagom oliv;27;388;0,5;40;8
Lättmargarin fett 40 % berikad typ Lätt & lagom omega 3;28;377;0,3;40;5,5
Smör fett 80 %;29;729;0,4;82;0,5
Smör extrasaltat fett 80% ;30;728;0,6;81,8;0,5
Smör osaltat fett 80%;31;728;0,6;81,8;0,5
Druvkärnolja;33;884;0;100;0
Majsolja;34;884;0;100;0
Olivolja;35;884;0;100;0
Tistelolja;37;884;0;100;0
Sesamolja;38;884;0;100;0
Sojaolja;39;884;0;100;0
Solrosolja;40;884;0;100;0
Vetegroddsolja;41;884;0;100;0
Dressing fett ca 25% ;42;263;0,5;25;9,7
Dressing majonnäs fett ca 60% ;43;572;1;59,9;9,5
Dressing majonnäs fett ca 40% ;44;454;0,5;40;24
Dressing majonnäs fett ca 25%;45;303;0,5;25;19,7
Dressing olja fett ca 45% ;46;416;0,5;43,1;8
Dressing olja fett ca 25% ;47;304;1,9;26,6;15
Dressing majonnäs lätt fett ca 15% ;48;217;1;14,5;20,8
Dressing fett 0%;49;60;1,6;0;13,1
Majonnäs fett 80% ;50;718;1;80;1,5
Gurkmajonnäs el gurksallad gatukök;51;333;0,8;32;10,9
Räkmajonnäs el räksallad gatukök;52;457;5,2;48;2,9
